Eldorin,Elf,He,Always speaks in rhymes
Aria,Elf,She,Collects rare flowers
Elowen,Elf,She,Writes poetry in her spare time
Lorath,Elf,He,Speaks multiple languages fluently
Elyria,Elf,She,Can predict the weather accurately
Faelan,Elf,He,Has a pet owl named Nimbus
Neria,Elf,She,Can communicate with animals
Lyra,Elf,She,Has visions of the future
Elara,Elf,She,Can manipulate fire with her mind
Elowyn,Elf,She,Whispers to unseen spirits
Eldara,Elf,She,Can speak to plants
Lirael,Elf,She,Carries a mysterious locked book
Eldorin,Elf,He,Always speaks in rhymes
Aria,Elf,She,Collects rare flowers
Elowen,Elf,She,Writes poetry in her spare time
Lorath,Elf,He,Speaks multiple languages fluently
Elyria,Elf,She,Can predict the weather accurately

