Eldorin,Elf,He,Always speaks in rhymes
Grimnir,Dwarf,He,Obsessed with shiny gems
Luna,Human,She,Claims to have magical powers
Thrax,Half-Orc,He,Laughs loudly at everything
Aria,Elf,She,Collects rare flowers
Bromlin,Dwarf,He,Constantly polishing his axe
Sylas,Human,They,Secretly a spy for a mysterious organization
Zara,Half-Elf,She,Always wears a hood to hide their face
Goruk,Orc,He,Has a pet direwolf
Elowen,Elf,She,Writes poetry in Her spare time
Thrain,Dwarf,He,Obsessed with brewing unique ales
Seraphina,Human,She,Always carries a mysterious locket
Ragnok,Half-Orc,He,Challenges everyone to arm wrestling
Lorath,Elf,He,Speaks multiple languages fluently
Hilda,Dwarf,She,Expert at haggling for goods
Caelum,Human,They,Has a magical talking familiar
Morgana,Half-Elf,She,Collects ancient artifacts
Urgoth,Orc,He,Keeps a journal of exotic creatures
Elyria,Elf,She,Can predict the weather accurately
Durin,Dwarf,He,Invents strange contraptions
Sylvan,Human,They,Always humming a mysterious tune
Rukh,Half-Orc,He,Dislikes magic and wizards
Faelan,Elf,He,Has a pet owl named Nimbus
Gimli,Dwarf,He,Obsessed with finding lost treasure
Isolde,Human,She,Skilled in archery and never misses a shot
Karnak,Orc,He,Collects rare and dangerous plants
Neria,Elf,She,Can communicate with animals
Borin,Dwarf,He,Creates intricate maps of the region
Astrid,Human,They,Trained in the art of illusion
Throk,Half-Orc,He,Always wears a mysterious amulet
Lyra,Elf,She,Has visions of the future
Gundar,Dwarf,He,Expert blacksmith and armorer
Aveline,Human,She,Skilled in Herbalism and potion-making
Grom,Orc,He,Carries a massive battleaxe
Eilif,Half-Elf,He,Knows secrets about everyone in town
Elara,Elf,She,Can manipulate fire with Her mind
Orik,Dwarf,He,Can mimic any accent perfectly
Selene,Human,They,Guardian of a hidden forest shrine
Garrosh,Half-Orc,He,Collects rare and ancient weapons
Elowyn,Elf,She,Whispers to unseen spirits
Gilda,Dwarf,She,Runs a tavern rivaling the best in town
Thalia,Human,She,Skilled dancer and entertainer
Vorok,Orc,He,Always looking for a worthy opponent
Eldara,Elf,She,Can speak to plants
Thrain,Dwarf,He,Obsessed with brewing unique ales
Sigrun,Human,She,Expert in identifying magical artifacts
Krognar,Half-Orc,He,Carves intricate wooden sculptures
Lirael,Elf,She,Carries a mysterious locked book
Borin,Dwarf,He,Invents and uses unconventional weapons
Aria,Human,She,Always wears a mask in public
Aelar,Elf,He,Collects rare butterflies
Thalia,Human,She,Always carries a lucky coin
Eldrin,Half-Elf,They,Expert juggler with fruit
Lyra,Elf,She,Speaks in rhymes
Finnian,Human,He,Has a pet owl named Midnight
Elara,Half-Elf,They,Obsessed with star constellations
Gideon,Elf,He,Only wears mismatched socks
Isolde,Human,She,Always carries a sketchbook
Soren,Half-Elf,He,Enjoys composing poetry
Aria,Elf,She,Has a mysterious scar on Her left cheek
Eldric,Human,He,Collects rare seaShells
Laelia,Half-Elf,They,Can mimic bird calls perfectly
Thorne,Elf,He,Has an affinity for Herbalism
Seraphina,Human,She,Keeps a diary of dreams
Rowan,Half-Elf,They,Always has a pouch of Herbs
Lirael,Elf,She,Speaks with a calming voice
Caelum,Human,He,Expert at playing the flute
Eowyn,Half-Elf,She,Carries a locket with a family picture
Eldarion,Elf,He,Has a fondness for riddles
Adelaide,Human,She,Skilled at acrobatics
Ilyndor,Half-Elf,They,Always wears a flower in their hair
Brynn,Elf,He,Has a mysterious past
Elysia,Human,She,Collects old maps
Finrod,Half-Elf,He,Always humming a tune
Ilyana,Elf,She,Obsessed with magical artifacts
Thrain,Human,He,Carries a lucky charm from childhood
Neria,Half-Elf,They,Keeps a journal of interesting facts
Galadriel,Elf,She,Speaks in riddles
Eirik,Human,He,Skilled at playing the harp
Maeve,Half-Elf,She,Has a pet fox named Ember
Aldaron,Elf,He,Collects rare books
Elowen,Human,She,Can imitate different accents
Cedric,Half-Elf,They,Always wears a hooded cloak
